Entity,Code,Year,Life Expectancy at Birth,GDP per capita
New Zealand,NZL,2008,80.39,#N/A
Nicaragua,NIC,2008,72.93,1673.867957
Niger,NER,2008,55.637,520.7162756
Nigeria,NGA,2008,50.182,1710.975723
North Korea,PRK,2008,68.441,1121.631323
Norway,NOR,2008,80.69,28464.30801
OWID_GDR,,2008,79.45,#N/A
OWID_GFR,,2008,80.08,#N/A
OWID_KOS,,2008,78.786,#N/A
Oman,OMN,2008,74.936,9362.3468
Pakistan,PAK,2008,65.679,2457.323588
Palestine,PSE,2008,72.167,#N/A
Panama,PAN,2008,76.402,6674.924471
Papua New Guinea,PNG,2008,61.505,#N/A
Paraguay,PRY,2008,71.752,3294.68599
Peru,PER,2008,73.124,5375.591721
Philippines,PHL,2008,67.803,2888.333725
Poland,POL,2008,75.52,10185.60338
Portugal,PRT,2008,79.32,14583.48904
Puerto Rico,PRI,2008,77.851,15074.16034
Qatar,QAT,2008,77.629,11346.99708
Romania,ROU,2008,73.074,5040.325355
Russia,RUS,2008,67.86,9038.485524
Rwanda,RWA,2008,59.84,1020.02118
Rï¿½union,,2008,78.201,#N/A
Saint Lucia,LCA,2008,73.985,#N/A
Saint Vincent and the Grenadines,VCT,2008,71.852,#N/A
Samoa,WSM,2008,71.546,#N/A
Sao Tome and Principe,STP,2008,65.479,#N/A
Saudi Arabia,SAU,2008,74.28,10011.94667
Senegal,SEN,2008,62.228,1493.667398
Serbia,SRB,2008,73.326,7421.082018
Seychelles,SYC,2008,72.413,6108.897742
Sierra Leone,SLE,2008,43.973,686.4424362
Singapore,SGP,2008,81.209,26638.21515
Slovakia,SVK,2008,74.86,13037.08612
Slovenia,SVN,2008,78.91,18745.07434
Solomon Islands,SLB,2008,66.372,#N/A
Somalia,SOM,2008,53.211,978.0653493
South Africa,ZAF,2008,52.212,#N/A
South Korea,KOR,2008,79.9,#N/A
Spain,ESP,2008,81.13,17734.02915
Sri Lanka,LKA,2008,73.424,4882.224755
Sudan,SDN,2008,60.898,3048.035197
Suriname,SUR,2008,69.645,#N/A
Swaziland,SWZ,2008,47.353,3150.20898
Sweden,SWE,2008,81.13,25181.20391
Switzerland,CHE,2008,81.99,25293.20404
Syria,SYR,2008,75.026,7555.624948
Tajikistan,TJK,2008,66.346,1555.824573
Tanzania,TZA,2008,56.595,747.476985
Thailand,THA,2008,73.303,8922.890435
Timor,TLS,2008,64.464,#N/A
Togo,TGO,2008,54.725,605.5978888
Tonga,TON,2008,71.843,#N/A
Trinidad and Tobago,TTO,2008,69.278,#N/A
Tunisia,TUN,2008,74.56,6116.971728
Turkey,TUR,2008,73.9,#N/A
Turkmenistan,TKM,2008,64.655,#N/A
Uganda,UGA,2008,55.171,1086.710042
Ukraine,UKR,2008,67.98,5027.617809
United Arab Emirates,ARE,2008,75.863,#N/A
United Kingdom,GBR,2008,79.68,#N/A
United States,USA,2008,78.26,#N/A
United States Virgin Islands,VIR,2008,78.916,#N/A
Uruguay,URY,2008,76.384,10405.44179
Uzbekistan,UZB,2008,67.585,5236.523321
Vanuatu,VUT,2008,69.989,#N/A
Venezuela,VEN,2008,73.746,10672.10831
Vietnam,VNM,2008,75.107,2925.947347
Western Sahara,ESH,2008,65.951,#N/A
Yemen,YEM,2008,62.028,2991.042553
Zambia,ZMB,2008,50.943,734.2203085
Zimbabwe,ZWE,2008,47.326,660.7354466
